model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1903x2TS228_3  [0.376]  0.350    0.341    0.335    0.333    0.347    0.348    0.349    0.356    0.359     0.295
C1903x2TS044_1  0.374    0.344    0.338    0.332    0.327    0.332    0.331    0.334    0.346    0.345     0.285
C1903x2TS131_4  0.363    0.401    0.413    0.394    0.388    0.396    0.414    0.431    0.441    0.447     0.311
C1903x2TS389_3  0.351    0.342    0.347    0.341    0.337    0.355    0.360    0.358    0.368    0.369     0.300
C1903x2TS215_5  0.344    0.338    0.328    0.342    0.349    0.348    0.344    0.335    0.329    0.329     0.252
C1903x2TS389_1  0.343    0.337    0.357    0.347    0.342    0.347    0.349    0.354    0.357    0.363     0.298
C1903x2TS215_1  0.318    0.367    0.392    0.377    0.362    0.350    0.341    0.333    0.329    0.325     0.254
C1903x2TS215_3  0.303    0.354    0.353    0.333    0.353    0.348    0.337    0.334    0.330    0.324     0.246
C1903x2TS215_4  0.296    0.303    0.308    0.366    0.370    0.365    0.354    0.352    0.346    0.341     0.260
C1903x2TS073_3  0.270    0.265    0.268    0.268    0.267    0.269    0.270    0.270    0.271    0.272     0.261
C1903x2TS131_3  0        [0.402]  [0.421]  [0.399]  [0.396]  [0.398]  [0.425]  [0.434]  [0.444]  0.449     0.311
C1903x2TS389_2  0        0.345    0.376    0.362    0.355    0.364    0.364    0.366    0.368    0.372     0.302
C1903x2TS228_2  0        0.310    0.308    0.320    0.328    0.331    0.339    0.340    0.345    0.352     0.288
C1903x2TS215_2  0        0.271    0.289    0.310    0.313    0.315    0.324    0.317    0.312    0.308     0.247
C1903x2TS131_2  0        0        0.377    0.376    0.380    0.387    0.413    0.428    0.435    0.445     0.315
C1903x2TS073_1  0        0        0.268    0.269    0.268    0.269    0.270    0.270    0.271    0.272     0.261
C1903x2TS131_1  0        0        0        0.377    0.380    0.389    0.414    0.424    [0.444]  [0.452]   [0.317]
C1903x2TS073_2  0        0        0        0.264    0.263    0.265    0.266    0.266    0.268    0.269     0.258
C1903x2TS228_1  0        0        0        0        0.318    0.325    0.334    0.338    0.350    0.358     0.294
C1903x2TS228_4  0        0        0        0        0        0.312    0.318    0.329    0.335    0.343     0.282
C1903x2TS123_4  0        0        0        0        0        0.268    0.268    0.268    0.269    0.268     0.257
C1903x2TS131_5  0        0        0        0        0        0        0        0.416    0.424    0.436     0.316
C1903x2TS121_1  0        0        0        0        0        0        0        0.229    0.230    0.230     0.225
C1903x2TS228_5  0        0        0        0        0        0        0        0        0        0.330     0.286
C1903x2TS073_4  0        0        0        0        0        0        0        0        0        0         0.263
C1903x2TS123_1  0        0        0        0        0        0        0        0        0        0         0.260
C1903x2TS073_5  0        0        0        0        0        0        0        0        0        0         0.258
C1903x2TS123_3  0        0        0        0        0        0        0        0        0        0         0.249
C1903x2TS103_1  0        0        0        0        0        0        0        0        0        0         0.245
C1903x2TS067_4  0        0        0        0        0        0        0        0        0        0         0.242
C1903x2TS067_1  0        0        0        0        0        0        0        0        0        0         0.234
C1903x2TS123_2  0        0        0        0        0        0        0        0        0        0         0.225
C1903x2TS003_1  0        0        0        0        0        0        0        0        0        0         0.221
C1903x2TS121_2  0        0        0        0        0        0        0        0        0        0         0.199
C1903x2TS049_1  0        0        0        0        0        0        0        0        0        0         0.188
C1903x2TS049_5  0        0        0        0        0        0        0        0        0        0         0.182
C1903x2TS049_3  0        0        0        0        0        0        0        0        0        0         0.143
C1903x2TS049_4  0        0        0        0        0        0        0        0        0        0         0.139
C1903x2TS049_2  0        0        0        0        0        0        0        0        0        0         0.138
