model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1905x2TS215_1  [0.396]  [0.414]  [0.377]  0.345    0.337    0.348    0.334    0.331    0.321    0.314     0.219
C1905x2TS215_3  0.317    0.339    0.340    0.341    0.324    0.312    0.311    0.314    0.306    0.319     0.226
C1905x2TS389_1  0.315    0.327    0.364    [0.379]  [0.364]  0.364    0.367    0.363    0.375    0.373     [0.266]
C1905x2TS228_1  0.295    0.322    0.358    0.368    0.354    0.362    0.372    0.369    0.362    0.365     0.264
C1905x2TS389_2  0.289    0.371    0.350    0.344    0.337    0.347    0.374    0.378    0.376    0.378     0.254
C1905x2TS389_4  0.288    0.388    0.368    0.354    0.362    [0.383]  [0.395]  [0.386]  [0.385]  [0.380]   0.257
C1905x2TS215_5  0.282    0.292    0.298    0.307    0.318    0.321    0.312    0.312    0.314    0.308     0.226
C1905x2TS215_2  0.274    0.271    0.271    0.270    0.316    0.312    0.319    0.333    0.330    0.323     0.233
C1905x2TS389_5  0.262    0.262    0.300    0.291    0.306    0.301    0.301    0.310    0.317    0.312     0.235
C1905x2TS123_3  0.236    0.233    0.237    0.237    0.237    0.236    0.237    0.238    0.238    0.239     0.222
C1905x2TS215_4  0        0.253    0.291    0.351    0.329    0.316    0.307    0.300    0.297    0.301     0.226
C1905x2TS389_3  0        0        0        0.305    0.311    0.333    0.347    0.347    0.353    0.359     0.254
C1905x2TS123_1  0        0        0        0        0.232    0.233    0.234    0.234    0.234    0.235     0.225
C1905x2TS073_1  0        0        0        0        0        0        0        0.264    0.268    0.278     0.253
C1905x2TS073_5  0        0        0        0        0        0        0        0        0.270    0.272     0.253
C1905x2TS121_1  0        0        0        0        0        0        0        0        0.215    0.215     0.216
C1905x2TS067_1  0        0        0        0        0        0        0        0        0        0         0.259
C1905x2TS067_3  0        0        0        0        0        0        0        0        0        0         0.257
C1905x2TS073_3  0        0        0        0        0        0        0        0        0        0         0.255
C1905x2TS067_2  0        0        0        0        0        0        0        0        0        0         0.253
C1905x2TS073_4  0        0        0        0        0        0        0        0        0        0         0.252
C1905x2TS073_2  0        0        0        0        0        0        0        0        0        0         0.249
C1905x2TS123_2  0        0        0        0        0        0        0        0        0        0         0.231
C1905x2TS067_4  0        0        0        0        0        0        0        0        0        0         0.225
C1905x2TS123_4  0        0        0        0        0        0        0        0        0        0         0.219
C1905x2TS003_1  0        0        0        0        0        0        0        0        0        0         0.212
C1905x2TS049_3  0        0        0        0        0        0        0        0        0        0         0.209
C1905x2TS103_1  0        0        0        0        0        0        0        0        0        0         0.199
C1905x2TS049_5  0        0        0        0        0        0        0        0        0        0         0.188
C1905x2TS049_2  0        0        0        0        0        0        0        0        0        0         0.186
C1905x2TS049_1  0        0        0        0        0        0        0        0        0        0         0.181
C1905x2TS049_4  0        0        0        0        0        0        0        0        0        0         0.173
C1905x2TS121_2  0        0        0        0        0        0        0        0        0        0         0.167
