model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1901d1TS273_1  [0.813]  [0.764]  [0.668]  0.628    0.603    0.576    0.558    0.542    0.528    0.516     0.348
C1901d1TS131_3  0.387    0.403    0.395    0.396    0.394    0.401    0.399    0.402    0.402    0.400     0.348
C1901d1TS240_4  0.338    0.348    0.345    0.344    0.344    0.346    0.346    0.345    0.344    0.343     0.326
C1901d1TS215_1  0.287    0.293    0.290    0.326    0.318    0.314    0.317    0.316    0.323    0.319     0.268
C1901d1TS123_4  0.267    0.274    0.271    0.270    0.269    0.270    0.269    0.272    0.271    0.271     0.273
C1901d1TS123_1  0.235    0.238    0.251    0.245    0.242    0.240    0.239    0.238    0.237    0.235     0.213
C1901d1TS273_2  0        0.750    0.665    [0.635]  [0.607]  [0.581]  [0.563]  [0.549]  [0.535]  [0.523]   [0.357]
C1901d1TS131_2  0        0.394    0.384    0.385    0.382    0.391    0.392    0.394    0.398    0.395     0.337
C1901d1TS131_1  0        0.384    0.382    0.390    0.387    0.408    0.405    0.416    0.417    0.412     0.339
C1901d1TS215_2  0        0.362    0.353    0.362    0.374    0.367    0.366    0.365    0.364    0.359     0.285
C1901d1TS347_1  0        0.256    0.253    0.252    0.251    0.252    0.252    0.252    0.252    0.252     0.253
C1901d1TS215_3  0        0        0.517    0.526    0.519    0.505    0.489    0.477    0.466    0.457     0.331
C1901d1TS258_2  0        0        0.502    0.522    0.530    0.527    0.518    0.506    0.500    0.495     0.345
C1901d1TS258_3  0        0        0.479    0.486    0.496    0.497    0.496    0.486    0.482    0.482     0.338
C1901d1TS210_2  0        0        0.367    0.365    0.366    0.374    0.378    0.377    0.376    0.373     0.324
C1901d1TS228_1  0        0        0.357    0.356    0.355    0.356    0.359    0.360    0.362    0.359     0.320
C1901d1TS210_5  0        0        0.326    0.326    0.327    0.329    0.328    0.328    0.327    0.327     0.303
C1901d1TS215_5  0        0        0.307    0.308    0.311    0.316    0.314    0.318    0.317    0.330     0.285
C1901d1TS049_3  0        0        0.235    0.236    0.235    0.236    0.236    0.236    0.237    0.237     0.262
C1901d1TS131_4  0        0        0        0.388    0.386    0.392    0.391    0.393    0.393    0.390     0.337
C1901d1TS258_1  0        0        0        0        0.455    0.457    0.461    0.459    0.457    0.457     0.337
C1901d1TS258_4  0        0        0        0        0.439    0.436    0.453    0.453    0.451    0.452     0.332
C1901d1TS131_5  0        0        0        0        0.390    0.397    0.396    0.402    0.402    0.400     0.344
C1901d1TS210_1  0        0        0        0        0.383    0.383    0.384    0.387    0.385    0.383     0.332
C1901d1TS405_2  0        0        0        0        0.323    0.323    0.322    0.321    0.320    0.320     0.295
C1901d1TS247_2  0        0        0        0        0.319    0.320    0.323    0.323    0.329    0.328     0.300
C1901d1TS215_4  0        0        0        0        0.304    0.319    0.316    0.316    0.316    0.323     0.279
C1901d1TS258_5  0        0        0        0        0        0.441    0.442    0.445    0.444    0.440     0.333
C1901d1TS210_3  0        0        0        0        0        0.368    0.368    0.370    0.370    0.371     0.325
