C1901d2TS003_1 C1901d2TS010_1 C1901d2TS010_2 C1901d2TS010_3 C1901d2TS010_4 C1901d2TS010_5 C1901d2TS049_1 C1901d2TS049_2 C1901d2TS049_3 C1901d2TS049_4 C1901d2TS049_5 C1901d2TS067_1 C1901d2TS067_2 C1901d2TS067_3 C1901d2TS067_4 C1901d2TS067_5 C1901d2TS103_1 C1901d2TS103_2 C1901d2TS103_3 C1901d2TS121_1 C1901d2TS121_2 C1901d2TS123_1 C1901d2TS123_2 C1901d2TS123_3 C1901d2TS123_4 C1901d2TS123_5 C1901d2TS131_1 C1901d2TS131_2 C1901d2TS131_3 C1901d2TS131_4 C1901d2TS131_5 C1901d2TS210_1 C1901d2TS210_2 C1901d2TS210_3 C1901d2TS210_4 C1901d2TS210_5 C1901d2TS215_1 C1901d2TS215_2 C1901d2TS215_3 C1901d2TS215_4 C1901d2TS215_5 C1901d2TS228_1 C1901d2TS228_2 C1901d2TS228_3 C1901d2TS228_4 C1901d2TS228_5 C1901d2TS240_1 C1901d2TS240_2 C1901d2TS240_3 C1901d2TS240_4 C1901d2TS240_5 C1901d2TS258_1 C1901d2TS258_2 C1901d2TS258_3 C1901d2TS258_4 C1901d2TS258_5 C1901d2TS267_1 C1901d2TS267_2 C1901d2TS267_3 C1901d2TS267_4 C1901d2TS267_5 C1901d2TS273_1 C1901d2TS273_2 C1901d2TS273_3 C1901d2TS273_4 C1901d2TS273_5 C1901d2TS347_1 C1901d2TS347_2 C1901d2TS347_3 C1901d2TS405_1 C1901d2TS405_2 C1901d2TS405_3 C1901d2TS405_4 C1901d2TS405_5 C1901d2TS438_1 C1901d2TS438_2 C1901d2TS438_3 C1901d2TS438_4 C1901d2TS438_5
1 0.279177 0.288259 0.272968 0.275904 0.273618 0.180374 0.194725 0.1811 0.203246 0.185849 0.273922 0.273922 0.294597 0.273922 0.291504 0.275291 0.288236 0.2981 0.282428 0.262712 0.296087 0.286786 0.293801 0.310637 0.310637 0.286932 0.279306 0.282053 0.282978 0.285448 0.312324 0.293889 0.276957 0.286538 0.281506 0.280667 0.289055 0.302773 0.287796 0.291626 0.298155 0.301391 0.305746 0.296752 0.30263 0.290172 0.295096 0.304449 0.285529 0.293648 0.280652 0.285668 0.286776 0.288904 0.289465 0.298701 0.304536 0.278434 0.296601 0.306408 0.288843 0.300679 0.313239 0.313239 0.313239 0.291 0.273086 0.289919 0.312324 0.30736 0.306765 0.304134 0.306422 0.305487 0.306548 0.297169 0.317214 0.305618
0.171533 1 0.488431 0.561583 0.439022 0.503793 0.105017 0.0877131 0.0909755 0.0858802 0.0946728 0.242041 0.242041 0.302954 0.242041 0.305162 0.334923 0.394646 0.412674 0.346561 0.313799 0.388353 0.396016 0.35528 0.371435 0.371435 0.462439 0.469442 0.468129 0.4749 0.476021 0.4192 0.466822 0.468869 0.452253 0.468843 0.382326 0.420145 0.414146 0.360644 0.367586 0.431765 0.433191 0.426812 0.430278 0.413985 0.454875 0.455475 0.456553 0.439971 0.454677 0.462984 0.45442 0.48625 0.462843 0.448184 0.39686 0.39371 0.456882 0.398314 0.38316 0.377386 0.418279 0.430283 0.430283 0.430283 0.451509 0.395003 0.41646 0.4192 0.426139 0.418416 0.42435 0.421984 0.473817 0.474257 0.480395 0.479548 0.477686
0.184801 0.485875 1 0.458255 0.452146 0.427139 0.105659 0.0880195 0.0994931 0.103887 0.10349 0.238549 0.238549 0.295133 0.238549 0.304835 0.31296 0.394515 0.382554 0.323344 0.314263 0.385585 0.364547 0.37267 0.340033 0.340033 0.433905 0.430123 0.440224 0.436527 0.432103 0.3792 0.40729 0.427126 0.415267 0.423314 0.361801 0.372038 0.40071 0.351233 0.352052 0.378857 0.381774 0.373795 0.37534 0.386378 0.411355 0.385841 0.413367 0.427597 0.426279 0.418696 0.415465 0.417435 0.418907 0.414547 0.367319 0.399864 0.405975 0.369518 0.375725 0.352969 0.400164 0.415118 0.415118 0.415118 0.407658 0.392115 0.391021 0.3792 0.382288 0.385716 0.372732 0.378615 0.44983 0.446987 0.442509 0.426719 0.445518
0.164757 0.55338 0.463244 1 0.432519 0.501763 0.100499 0.0783578 0.0807756 0.0887621 0.0933175 0.252919 0.252919 0.308054 0.252919 0.306085 0.327446 0.4294 0.417922 0.337072 0.313995 0.397587 0.394558 0.377409 0.38345 0.38345 0.472829 0.471964 0.472509 0.480079 0.474656 0.419724 0.487187 0.486308 0.458726 0.477113 0.387601 0.415489 0.399634 0.357031 0.362778 0.403128 0.402245 0.399766 0.40325 0.4332 0.452929 0.445681 0.439233 0.431477 0.458953 0.449912 0.435294 0.446178 0.440037 0.431011 0.41663 0.40038 0.435446 0.405191 0.410209 0.388037 0.400248 0.431866 0.431866 0.431866 0.476897 0.410774 0.425149 0.419724 0.416923 0.417519 0.418009 0.406018 0.471944 0.474614 0.479758 0.47809 0.481771
0.181611 0.421882 0.433551 0.411781 1 0.420838 0.107214 0.0834387 0.105618 0.1012 0.0993568 0.230983 0.230983 0.284305 0.230983 0.29215 0.310401 0.360709 0.377699 0.314611 0.300055 0.358772 0.358922 0.333807 0.33602 0.33602 0.392812 0.390169 0.395924 0.396578 0.392 0.377817 0.434586 0.414222 0.44581 0.396382 0.34054 0.374389 0.350908 0.312567 0.319063 0.380462 0.383344 0.383285 0.379495 0.408743 0.37934 0.39234 0.402832 0.379861 0.402906 0.389269 0.387005 0.408115 0.391665 0.380667 0.355537 0.349409 0.392605 0.353951 0.355901 0.359974 0.385379 0.396758 0.396758 0.396758 0.396564 0.36761 0.36984 0.377817 0.382628 0.378542 0.379202 0.37629 0.39678 0.391036 0.398265 0.399734 0.391925
0.172581 0.473614 0.399311 0.471023 0.412433 1 0.0935892 0.0734186 0.0754613 0.0904644 0.0835503 0.238961 0.238961 0.310992 0.238961 0.30626 0.337155 0.401866 0.398074 0.297121 0.281167 0.34563 0.368241 0.337128 0.363983 0.363983 0.45422 0.458401 0.45704 0.453095 0.459661 0.385729 0.442115 0.482237 0.429448 0.466111 0.377584 0.363994 0.353303 0.347372 0.337443 0.405636 0.409547 0.403306 0.404396 0.408393 0.433119 0.43437 0.439257 0.404682 0.430239 0.427733 0.426543 0.40268 0.418863 0.414757 0.394746 0.349172 0.392066 0.364352 0.357463 0.382422 0.360708 0.382555 0.382555 0.382555 0.445322 0.379284 0.399835 0.385729 0.390716 0.398545 0.404991 0.391172 0.459909 0.452271 0.45242 0.439376 0.444267
0.409924 0.316438 0.323133 0.32122 0.323723 0.315081 1 0.498284 0.509602 0.508451 0.506638 0.381781 0.381781 0.359783 0.381781 0.367607 0.339866 0.32174 0.331044 0.334883 0.313095 0.310201 0.317818 0.319264 0.332299 0.332299 0.306319 0.303459 0.303669 0.308001 0.301822 0.341232 0.305075 0.291157 0.310196 0.27934 0.328045 0.319889 0.353909 0.320577 0.327722 0.320256 0.322091 0.326717 0.319735 0.315612 0.328469 0.326134 0.324955 0.330623 0.329004 0.316099 0.321328 0.32079 0.310907 0.305931 0.321776 0.31062 0.321464 0.316304 0.316521 0.360882 0.335154 0.332127 0.332127 0.332127 0.287248 0.327097 0.312082 0.341232 0.338922 0.336741 0.333341 0.342805 0.309264 0.319099 0.306847 0.326257 0.314555
0.405167 0.313198 0.320863 0.306324 0.317866 0.303958 0.496032 1 0.560174 0.55452 0.52653 0.390406 0.390406 0.342619 0.390406 0.360049 0.3345 0.316523 0.322616 0.354958 0.304443 0.321146 0.317057 0.333082 0.316737 0.316737 0.298441 0.300524 0.30111 0.303782 0.295897 0.339189 0.303937 0.286134 0.311703 0.278359 0.327746 0.325115 0.362697 0.316918 0.328375 0.309598 0.311349 0.315718 0.310536 0.302037 0.32421 0.314255 0.310075 0.318453 0.315679 0.307425 0.3144 0.307965 0.304843 0.307197 0.303357 0.324074 0.328699 0.311887 0.331646 0.348203 0.332795 0.333355 0.333355 0.333355 0.281444 0.309305 0.313338 0.339189 0.333115 0.344877 0.331334 0.332746 0.313578 0.319599 0.306745 0.327113 0.314686
0.418383 0.310074 0.321008 0.298903 0.319874 0.304669 0.506694 0.55285 1 0.570018 0.530348 0.370838 0.370838 0.346912 0.370838 0.335554 0.347227 0.310125 0.319442 0.345179 0.304396 0.317989 0.317027 0.327654 0.32785 0.32785 0.29606 0.294374 0.290731 0.297616 0.294814 0.343056 0.295955 0.279351 0.3072 0.269817 0.324262 0.322638 0.352201 0.31198 0.31618 0.306633 0.310268 0.312628 0.309036 0.297356 0.318896 0.313183 0.304275 0.315119 0.313511 0.305992 0.302049 0.304349 0.305238 0.299577 0.307431 0.311082 0.311206 0.314557 0.321442 0.356806 0.338602 0.326301 0.326301 0.326301 0.276564 0.316883 0.307107 0.343056 0.331655 0.341216 0.33543 0.337518 0.306992 0.310944 0.304376 0.326213 0.307245
0.412109 0.296081 0.322191 0.297688 0.321228 0.303309 0.463095 0.511429 0.518227 1 0.490761 0.356067 0.356067 0.345358 0.356067 0.344613 0.335408 0.299618 0.312667 0.343915 0.301638 0.310184 0.302798 0.322652 0.311113 0.311113 0.286814 0.284804 0.284972 0.290743 0.284804 0.324851 0.29535 0.277808 0.300555 0.263816 0.319678 0.31598 0.340666 0.312087 0.319441 0.301207 0.304068 0.306562 0.304721 0.291378 0.313082 0.301914 0.298039 0.310604 0.302213 0.302238 0.296838 0.299375 0.296835 0.293152 0.299105 0.305481 0.313217 0.304746 0.320783 0.349924 0.338878 0.322266 0.322266 0.322266 0.273253 0.305967 0.300339 0.324851 0.325418 0.323924 0.327692 0.322954 0.296151 0.302225 0.294951 0.314041 0.298718
