C1909TS003_1 C1909TS003_2 C1909TS003_3 C1909TS010_1 C1909TS010_2 C1909TS010_3 C1909TS010_4 C1909TS010_5 C1909TS044_1 C1909TS054_1 C1909TS054_2 C1909TS054_3 C1909TS054_4 C1909TS054_5 C1909TS066_1 C1909TS066_2 C1909TS067_1 C1909TS067_2 C1909TS067_3 C1909TS067_4 C1909TS067_5 C1909TS073_1 C1909TS073_2 C1909TS073_3 C1909TS073_4 C1909TS073_5 C1909TS087_1 C1909TS087_2 C1909TS087_3 C1909TS087_4 C1909TS102_1 C1909TS102_2 C1909TS103_1 C1909TS123_1 C1909TS123_2 C1909TS123_3 C1909TS123_4 C1909TS123_5 C1909TS131_1 C1909TS131_2 C1909TS131_3 C1909TS131_4 C1909TS131_5 C1909TS152_1 C1909TS152_2 C1909TS152_3 C1909TS152_4 C1909TS152_5 C1909TS158_1 C1909TS158_2 C1909TS158_3 C1909TS158_4 C1909TS158_5 C1909TS182_1 C1909TS182_2 C1909TS182_3 C1909TS182_4 C1909TS182_5 C1909TS196_1 C1909TS200_1 C1909TS210_1 C1909TS210_2 C1909TS210_3 C1909TS210_4 C1909TS210_5 C1909TS211_1 C1909TS211_2 C1909TS211_3 C1909TS211_4 C1909TS211_5 C1909TS213_1 C1909TS213_2 C1909TS213_3 C1909TS213_4 C1909TS213_5 C1909TS215_1 C1909TS215_2 C1909TS215_3 C1909TS215_4 C1909TS215_5 C1909TS228_1 C1909TS228_2 C1909TS228_3 C1909TS228_4 C1909TS228_5 C1909TS230_1 C1909TS230_2 C1909TS230_3 C1909TS230_4 C1909TS230_5 C1909TS240_1 C1909TS240_2 C1909TS240_3 C1909TS240_4 C1909TS240_5 C1909TS247_1 C1909TS247_2 C1909TS247_3 C1909TS247_4 C1909TS247_5 C1909TS258_1 C1909TS258_2 C1909TS258_3 C1909TS258_4 C1909TS258_5 C1909TS273_1 C1909TS273_2 C1909TS273_3 C1909TS273_4 C1909TS273_5 C1909TS278_1 C1909TS278_2 C1909TS278_3 C1909TS278_4 C1909TS278_5 C1909TS299_1 C1909TS299_2 C1909TS299_3 C1909TS299_4 C1909TS299_5 C1909TS301_1 C1909TS309_1 C1909TS309_2 C1909TS309_3 C1909TS309_4 C1909TS309_5 C1909TS345_1 C1909TS345_2 C1909TS345_3 C1909TS345_4 C1909TS345_5 C1909TS347_1 C1909TS349_1 C1909TS349_2 C1909TS349_3 C1909TS349_4 C1909TS349_5 C1909TS359_1 C1909TS369_1 C1909TS369_2 C1909TS369_3 C1909TS369_4 C1909TS369_5 C1909TS389_1 C1909TS389_2 C1909TS389_3 C1909TS389_4 C1909TS389_5 C1909TS404_1 C1909TS404_2 C1909TS404_3 C1909TS404_4 C1909TS404_5 C1909TS405_1 C1909TS405_2 C1909TS405_3 C1909TS405_4 C1909TS405_5 C1909TS413_1 C1909TS413_2 C1909TS413_3 C1909TS413_4 C1909TS413_5 C1909TS414_1 C1909TS414_2 C1909TS414_3 C1909TS414_4 C1909TS414_5 C1909TS438_1 C1909TS438_2 C1909TS438_3 C1909TS438_4 C1909TS438_5
1 0.426755 0.409948 0.348587 0.341659 0.371462 0.347347 0.331151 0.326553 0.34235 0.3595 0.353277 0.365736 0.354209 0.37333 0.407437 0.434452 0.386398 0.431785 0.401596 0.434452 0.394955 0.395201 0.382622 0.381776 0.385239 0.351704 0.36535 0.385218 0.338319 0.336588 0.368357 0.336588 0.356843 0.369083 0.344584 0.357496 0.351163 0.369701 0.345774 0.373796 0.373842 0.367159 0.39407 0.359413 0.348533 0.376772 0.34699 0.326319 0.37123 0.354328 0.348794 0.375505 0.366536 0.352825 0.351341 0.352317 0.361575 0.368357 0.334342 0.38824 0.381089 0.359342 0.381342 0.356139 0.352107 0.380278 0.374907 0.383948 0.402464 0.392965 0.368381 0.380604 0.364951 0.383541 0.335223 0.372312 0.32965 0.368045 0.383863 0.326292 0.334978 0.312308 0.330099 0.326775 0.394318 0.373033 0.360165 0.367129 0.351067 0.381617 0.360557 0.361548 0.386129 0.401631 0.36629 0.354644 0.340682 0.33746 0.38698 0.37869 0.37055 0.349294 0.352139 0.39272 0.289072 0.346328 0.337147 0.34008 0.391688 0.371021 0.357106 0.370128 0.363037 0.32724 0.371021 0.357106 0.370128 0.363037 0.32724 0.326553 0.377716 0.37359 0.352606 0.371674 0.373286 0.338789 0.330121 0.331795 0.377583 0.344428 0.364572 0.369965 0.37021 0.362212 0.361131 0.359822 0.348657 0.383424 0.43522 0.372399 0.358548 0.353807 0.391622 0.387905 0.341033 0.323094 0.390926 0.337724 0.344662 0.340092 0.334651 0.361266 0.365812 0.316129 0.294113 0.33844 0.354189 0.377805 0.383207 0.410907 0.371921 0.400666 0.336903 0.389397 0.346809 0.353904 0.358276 0.37351 0.344748 0.37221 0.355854 0.354401
0.445687 1 0.425484 0.34592 0.347384 0.327854 0.396557 0.358272 0.356125 0.403231 0.382073 0.401411 0.402492 0.461533 0.411853 0.440128 0.425338 0.420741 0.433266 0.444734 0.425338 0.415873 0.405746 0.376404 0.360373 0.395622 0.387375 0.404054 0.413162 0.415268 0.420127 0.401457 0.420127 0.389309 0.409527 0.418177 0.405877 0.421819 0.395172 0.363997 0.382412 0.382243 0.381833 0.362081 0.39593 0.399713 0.391647 0.408156 0.379608 0.43426 0.367694 0.445806 0.377143 0.393387 0.398316 0.373765 0.407927 0.377918 0.401457 0.395578 0.396688 0.402248 0.389535 0.352492 0.446544 0.426486 0.462853 0.356488 0.377238 0.365955 0.429205 0.428821 0.436008 0.430393 0.418064 0.416146 0.428727 0.371025 0.365735 0.385461 0.35294 0.334613 0.332222 0.344949 0.348437 0.410752 0.435811 0.379041 0.440134 0.418463 0.392998 0.394141 0.404724 0.378567 0.364895 0.373407 0.435282 0.413674 0.366453 0.353906 0.451258 0.421771 0.465828 0.426751 0.420773 0.311533 0.316655 0.352466 0.343664 0.316946 0.411023 0.408392 0.383868 0.391191 0.409919 0.411023 0.408392 0.383868 0.391191 0.409919 0.356125 0.434482 0.452129 0.420352 0.400029 0.419182 0.410288 0.394017 0.430734 0.404855 0.396562 0.443265 0.396596 0.396993 0.390865 0.391373 0.391874 0.392351 0.393617 0.443336 0.414173 0.412386 0.41258 0.396804 0.423465 0.356561 0.391199 0.362445 0.37908 0.374664 0.389439 0.368419 0.38539 0.381613 0.374153 0.402048 0.379451 0.375029 0.375275 0.391004 0.412366 0.37613 0.378698 0.39622 0.412454 0.422518 0.400381 0.387455 0.41592 0.393648 0.427148 0.400527 0.398995
0.34289 0.372023 1 0.315225 0.307268 0.296703 0.283502 0.302953 0.298434 0.447406 0.433995 0.405114 0.449047 0.434155 0.519747 0.47255 0.40306 0.441564 0.447587 0.317709 0.40306 0.358108 0.357037 0.36473 0.34144 0.353736 0.451231 0.493104 0.52116 0.461243 0.398857 0.47642 0.398857 0.404257 0.45002 0.467016 0.419856 0.422306 0.503013 0.515325 0.488817 0.488846 0.488845 0.380237 0.434665 0.415215 0.412446 0.488161 0.284486 0.426717 0.270863 0.446586 0.402387 0.380607 0.373567 0.387692 0.385191 0.391247 0.47642 0.413015 0.438075 0.300754 0.400885 0.246052 0.388183 0.454158 0.402048 0.354446 0.339727 0.360597 0.428048 0.418145 0.43234 0.426512 0.420631 0.451063 0.470545 0.394667 0.434609 0.4401 0.465831 0.430821 0.433027 0.461972 0.466689 0.461032 0.418614 0.40481 0.370704 0.397853 0.288532 0.286888 0.235083 0.264105 0.280176 0.437141 0.432972 0.427969 0.444503 0.287995 0.435838 0.445595 0.445741 0.444368 0.396434 0.239192 0.285717 0.305099 0.296008 0.262787 0.470274 0.487228 0.426235 0.427877 0.426637 0.470274 0.487228 0.426235 0.427877 0.426637 0.298434 0.422901 0.448177 0.399066 0.399829 0.43195 0.469174 0.459002 0.442924 0.447603 0.524072 0.455459 0.440515 0.440597 0.444761 0.43819 0.437164 0.460284 0.475908 0.439929 0.406371 0.444362 0.417017 0.379101 0.397237 0.353887 0.456007 0.376016 0.34309 0.34631 0.375029 0.395558 0.34901 0.279829 0.270408 0.260764 0.272263 0.30852 0.477088 0.496419 0.511003 0.509541 0.483755 0.472223 0.447505 0.438926 0.422961 0.434284 0.416566 0.410538 0.43527 0.413284 0.43409
0.2962 0.297759 0.338736 1 0.496427 0.471372 0.340703 0.387973 0.463682 0.318319 0.35315 0.31195 0.32606 0.346212 0.385255 0.33696 0.281438 0.308084 0.290238 0.320474 0.281438 0.36617 0.350578 0.341897 0.342577 0.334701 0.320936 0.356942 0.354376 0.314993 0.315654 0.35163 0.315654 0.34936 0.326785 0.326589 0.340122 0.295828 0.313866 0.329083 0.315094 0.315303 0.320893 0.309408 0.33249 0.314852 0.32243 0.335684 0.300459 0.321815 0.377057 0.310741 0.321931 0.363268 0.322291 0.349593 0.31449 0.327345 0.35163 0.31893 0.321608 0.374263 0.324105 0.386118 0.347957 0.334757 0.314384 0.35777 0.357965 0.344661 0.338615 0.328117 0.335798 0.326615 0.325971 0.296302 0.321313 0.299388 0.362909 0.332353 0.346146 0.339337 0.349513 0.343135 0.343377 0.342366 0.306449 0.331827 0.332802 0.327566 0.398945 0.362003 0.36465 0.397602 0.407781 0.318396 0.335073 0.325454 0.332995 0.309243 0.334648 0.341497 0.335759 0.333962 0.306162 0.287576 0.446876 0.388302 0.479692 0.336111 0.357865 0.370729 0.359268 0.348837 0.340789 0.357865 0.370729 0.359268 0.348837 0.340789 0.463682 0.34704 0.359823 0.325327 0.341468 0.358115 0.302501 0.29896 0.301571 0.327125 0.32532 0.327017 0.334358 0.334466 0.333129 0.337036 0.344331 0.383476 0.33858 0.321816 0.35288 0.336997 0.32154 0.325503 0.325543 0.314179 0.305408 0.317761 0.299014 0.308637 0.294564 0.295462 0.316157 0.366041 0.346729 0.36887 0.364372 0.385633 0.337066 0.355877 0.334652 0.327901 0.380958 0.399286 0.365009 0.386461 0.392408 0.30785 0.319136 0.31204 0.343695 0.308194 0.329838
0.290228 0.304012 0.331668 0.523869 1 0.502663 0.332774 0.352456 0.429284 0.347376 0.337659 0.341534 0.339912 0.36777 0.331921 0.314928 0.287927 0.298176 0.278834 0.336726 0.287927 0.349947 0.335575 0.348621 0.376534 0.325135 0.311532 0.33693 0.360204 0.341574 0.313897 0.356043 0.313897 0.354902 0.342013 0.353234 0.351576 0.323283 0.312457 0.315497 0.311302 0.311399 0.308386 0.304049 0.334955 0.338105 0.336667 0.354436 0.314756 0.33389 0.322059 0.286633 0.328315 0.431773 0.325259 0.436528 0.332422 0.356522 0.356043 0.35599 0.332492 0.338607 0.338539 0.350567 0.377815 0.365471 0.322093 0.351254 0.329142 0.343826 0.340839 0.336816 0.347193 0.341666 0.336362 0.32054 0.33973 0.282792 0.334218 0.360947 0.296662 0.28968 0.292262 0.301783 0.299469 0.371264 0.355522 0.315359 0.311201 0.300026 0.415423 0.370234 0.377207 0.400133 0.382433 0.336962 0.315426 0.362826 0.341049 0.333919 0.36085 0.352702 0.363674 0.350478 0.350781 0.327216 0.475385 0.350347 0.874235 0.344561 0.33687 0.341702 0.371376 0.341508 0.328192 0.33687 0.341702 0.371376 0.341508 0.328192 0.429284 0.36139 0.371662 0.334229 0.345021 0.361796 0.314269 0.330615 0.311885 0.310729 0.311606 0.322438 0.30626 0.306854 0.299348 0.30167 0.305884 0.377422 0.354989 0.32343 0.326167 0.360831 0.342555 0.275217 0.299106 0.283903 0.342094 0.297063 0.276672 0.280741 0.256723 0.248623 0.316238 0.387713 0.316218 0.325416 0.333708 0.384514 0.334381 0.352556 0.318003 0.325276 0.398567 0.345113 0.355354 0.327422 0.368375 0.296674 0.353117 0.344543 0.342444 0.356832 0.31873
0.279687 0.264715 0.294433 0.411798 0.437135 1 0.277342 0.38865 0.386151 0.307024 0.299035 0.289859 0.306765 0.321049 0.290354 0.298513 0.265056 0.282443 0.288245 0.283047 0.265056 0.311901 0.327737 0.299558 0.324245 0.309179 0.287246 0.288075 0.278446 0.27933 0.322766 0.303359 0.322766 0.303688 0.283353 0.272361 0.27483 0.257248 0.308497 0.319008 0.304806 0.304737 0.303212 0.294271 0.273539 0.263803 0.275789 0.310062 0.309232 0.28257 0.289066 0.25991 0.264481 0.350741 0.291149 0.326177 0.29324 0.291557 0.303359 0.262256 0.269763 0.316293 0.254835 0.324489 0.286154 0.312496 0.296423 0.34269 0.357683 0.347355 0.286314 0.292339 0.287423 0.290944 0.296926 0.334 0.291302 0.2777 0.303528 0.309813 0.288756 0.27926 0.288546 0.28739 0.288134 0.323762 0.309952 0.287703 0.278227 0.257626 0.346524 0.274075 0.275172 0.315954 0.343617 0.264507 0.279333 0.277206 0.265922 0.286229 0.273768 0.272393 0.274239 0.294266 0.299325 0.272305 0.832701 0.393031 0.434432 0.319722 0.269589 0.284776 0.304179 0.278979 0.317446 0.269589 0.284776 0.304179 0.278979 0.317446 0.386151 0.310934 0.292207 0.275025 0.278658 0.274756 0.3136 0.285299 0.282042 0.310921 0.290542 0.282392 0.318317 0.318499 0.316981 0.320906 0.329484 0.328227 0.293438 0.300381 0.3026 0.310232 0.302326 0.270273 0.270531 0.2583 0.301711 0.287608 0.243745 0.260651 0.252084 0.239961 0.27546 0.325593 0.323461 0.276639 0.30171 0.332663 0.290468 0.297334 0.26651 0.294364 0.30902 0.297778 0.308901 0.296196 0.316328 0.264558 0.258607 0.250175 0.274412 0.26767 0.26872
0.347312 0.359735 0.345207 0.372557 0.369042 0.346198 1 0.386986 0.358991 0.346358 0.380254 0.361613 0.34586 0.360067 0.361386 0.375138 0.328622 0.328173 0.344662 0.368426 0.328622 0.352304 0.332826 0.316042 0.30391 0.31454 0.342659 0.376993 0.401427 0.336989 0.376927 0.353689 0.376927 0.361351 0.359728 0.349138 0.348838 0.335937 0.335321 0.352218 0.328177 0.328163 0.333963 0.370841 0.375264 0.321441 0.344116 0.367095 0.343667 0.358027 0.348652 0.338002 0.356712 0.375573 0.387338 0.35333 0.37546 0.378167 0.353689 0.365934 0.349208 0.367848 0.313469 0.33079 0.405559 0.490381 0.323824 0.363084 0.34473 0.34188 0.375367 0.362795 0.377872 0.364941 0.369589 0.346601 0.34736 0.311269 0.335239 0.353765 0.334147 0.325562 0.345232 0.325669 0.329522 0.373674 0.386995 0.330021 0.408122 0.319733 0.41934 0.407691 0.36334 0.370211 0.333226 0.31918 0.38879 0.339516 0.377076 0.383307 0.385497 0.380364 0.343627 0.361046 0.341787 0.344169 0.344223 0.39315 0.356105 0.335161 0.372721 0.371407 0.351125 0.351216 0.373133 0.372721 0.371407 0.351125 0.351216 0.373133 0.358991 0.378712 0.384682 0.366401 0.37792 0.348949 0.37062 0.350098 0.363207 0.378176 0.376406 0.367389 0.348166 0.348003 0.349346 0.346716 0.349294 0.386217 0.367607 0.378634 0.357405 0.374546 0.351422 0.341764 0.36547 0.297695 0.34906 0.369745 0.360747 0.36537 0.368491 0.329689 0.366939 0.371923 0.331274 0.358943 0.351827 0.382721 0.35676 0.333861 0.374902 0.339817 0.355855 0.349081 0.341545 0.36458 0.349373 0.295124 0.336916 0.335733 0.345686 0.337352 0.350843
0.286871 0.305167 0.310626 0.359561 0.326272 0.413554 0.340874 1 0.397316 0.33132 0.342152 0.357898 0.318342 0.376384 0.33662 0.351747 0.259598 0.304121 0.307834 0.293727 0.259598 0.36995 0.333096 0.329251 0.312165 0.329823 0.324767 0.355938 0.360836 0.306521 0.319867 0.347774 0.319867 0.348818 0.334774 0.35158 0.29926 0.301453 0.267876 0.31044 0.255977 0.255948 0.25797 0.338683 0.312464 0.315476 0.35339 0.358803 0.42297 0.356055 0.431998 0.311997 0.333586 0.33921 0.334253 0.348094 0.340226 0.312147 0.347774 0.305294 0.324974 0.353412 0.325798 0.347712 0.355241 0.360969 0.339649 0.34 0.34918 0.346397 0.353746 0.364457 0.360023 0.361249 0.356643 0.371905 0.335526 0.273883 0.325644 0.343072 0.259526 0.256258 0.269547 0.26108 0.26005 0.353648 0.333324 0.336171 0.310171 0.303918 0.349299 0.348943 0.312275 0.292305 0.330444 0.276548 0.325584 0.333439 0.301592 0.275918 0.342011 0.360779 0.33743 0.333456 0.325575 0.276155 0.391303 0.8813 0.332407 0.317119 0.366882 0.338372 0.32548 0.339816 0.377877 0.366882 0.338372 0.32548 0.339816 0.377877 0.397316 0.360038 0.336401 0.356125 0.335887 0.349615 0.335314 0.333751 0.344311 0.329963 0.340314 0.359397 0.321548 0.321383 0.320842 0.326591 0.32726 0.365941 0.337077 0.315023 0.347026 0.333411 0.350297 0.316207 0.320904 0.291371 0.353553 0.332923 0.259368 0.311427 0.268183 0.258342 0.326167 0.382977 0.374842 0.36085 0.402 0.36449 0.334904 0.302292 0.32493 0.305391 0.3242 0.328083 0.362341 0.333514 0.386796 0.347911 0.306388 0.301686 0.316681 0.313749 0.336283
0.275458 0.309037 0.318677 0.451138 0.41921 0.417718 0.336885 0.409483 1 0.3395 0.370943 0.357714 0.341918 0.357652 0.367016 0.340702 0.311619 0.332664 0.28185 0.292995 0.311619 0.368948 0.362706 0.347475 0.369954 0.34169 0.344064 0.408331 0.389259 0.37763 0.33227 0.374655 0.33227 0.333622 0.362255 0.358582 0.307028 0.309093 0.325077 0.361515 0.320852 0.320855 0.324031 0.319938 0.338682 0.311135 0.333928 0.333939 0.359499 0.3441 0.352046 0.342063 0.324078 0.359622 0.376718 0.351502 0.373049 0.397751 0.374655 0.364516 0.319687 0.361176 0.340244 0.387863 0.361393 0.403517 0.309014 0.371653 0.364472 0.366743 0.356111 0.334099 0.338786 0.352622 0.33603 0.353539 0.34674 0.326294 0.386392 0.345983 0.320628 0.336838 0.289662 0.324765 0.319538 0.359264 0.331953 0.342875 0.322667 0.309495 0.377164 0.322763 0.351469 0.348706 0.367555 0.329336 0.357009 0.354144 0.375955 0.326898 0.344841 0.315812 0.354981 0.339909 0.314844 0.266773 0.417033 0.399533 0.412953 0.323786 0.396871 0.374853 0.394816 0.361927 0.366962 0.396871 0.374853 0.394816 0.361927 0.366962 1 0.366454 0.376961 0.339637 0.405525 0.374199 0.379013 0.321348 0.346691 0.331747 0.365758 0.335504 0.353017 0.352944 0.350595 0.35504 0.361975 0.40336 0.358158 0.329011 0.355872 0.374784 0.359591 0.327899 0.365178 0.344869 0.292549 0.312135 0.301861 0.336374 0.306554 0.282566 0.31413 0.37021 0.386267 0.38916 0.40735 0.374472 0.324413 0.33947 0.356354 0.333962 0.34591 0.383082 0.326107 0.342203 0.345165 0.313062 0.319364 0.303295 0.311813 0.315461 0.331348
0.282757 0.328143 0.399794 0.306946 0.316755 0.293201 0.29159 0.308158 0.308726 1 0.471238 0.441812 0.535362 0.519411 0.48344 0.423672 0.321217 0.36886 0.318438 0.277747 0.321217 0.357222 0.387099 0.35827 0.35638 0.3511 0.393059 0.600676 0.601795 0.50164 0.401346 0.43603 0.401346 0.419416 0.427194 0.414362 0.409882 0.396508 0.375706 0.418485 0.370118 0.370053 0.368823 0.395537 0.481337 0.395031 0.417466 0.470414 0.304875 0.386356 0.300892 0.402396 0.37859 0.435592 0.390079 0.433141 0.396669 0.38746 0.43603 0.497196 0.471991 0.350136 0.445688 0.301711 0.445727 0.421626 0.373149 0.344892 0.309228 0.308949 0.404297 0.423882 0.422558 0.423951 0.40574 0.462199 0.495352 0.369894 0.419751 0.394515 0.335426 0.309247 0.338024 0.326067 0.331145 0.474037 0.440551 0.368447 0.39962 0.3782 0.272442 0.396372 0.323131 0.276612 0.326837 0.427818 0.414686 0.415575 0.479375 0.317556 0.394772 0.419862 0.412326 0.416761 0.383514 0.304585 0.316657 0.300764 0.321298 0.229986 0.489274 0.471906 0.388022 0.450409 0.435497 0.489274 0.471906 0.388022 0.450409 0.435497 0.308726 0.474199 0.415063 0.440673 0.427847 0.453761 0.485705 0.529539 0.469723 0.396434 0.474423 0.394392 0.408144 0.408561 0.408911 0.405525 0.408143 0.434363 0.415663 0.386472 0.387572 0.417483 0.430398 0.350833 0.34042 0.347035 0.433157 0.396943 0.34357 0.361251 0.333512 0.345822 0.330525 0.359524 0.323399 0.320684 0.316817 0.350043 0.411345 0.383001 0.387049 0.373879 0.387241 0.460975 0.473607 0.463106 0.442287 0.335835 0.415253 0.41612 0.426962 0.419783 0.401625
