C1904d2TS003_1 C1904d2TS049_1 C1904d2TS049_2 C1904d2TS049_3 C1904d2TS049_4 C1904d2TS049_5 C1904d2TS067_1 C1904d2TS067_2 C1904d2TS067_3 C1904d2TS067_4 C1904d2TS067_5 C1904d2TS103_1 C1904d2TS121_1 C1904d2TS121_2 C1904d2TS123_1 C1904d2TS123_2 C1904d2TS123_3 C1904d2TS123_4 C1904d2TS123_5 C1904d2TS131_1 C1904d2TS131_2 C1904d2TS131_3 C1904d2TS131_4 C1904d2TS131_5 C1904d2TS210_1 C1904d2TS210_2 C1904d2TS210_3 C1904d2TS210_4 C1904d2TS210_5 C1904d2TS215_1 C1904d2TS215_2 C1904d2TS215_3 C1904d2TS215_4 C1904d2TS215_5 C1904d2TS228_1 C1904d2TS228_2 C1904d2TS228_3 C1904d2TS228_4 C1904d2TS228_5 C1904d2TS240_1 C1904d2TS240_2 C1904d2TS240_3 C1904d2TS240_4 C1904d2TS240_5 C1904d2TS258_1 C1904d2TS258_2 C1904d2TS258_3 C1904d2TS258_4 C1904d2TS258_5 C1904d2TS273_1 C1904d2TS273_2 C1904d2TS273_3 C1904d2TS273_4 C1904d2TS273_5 C1904d2TS347_1 C1904d2TS347_2 C1904d2TS347_3 C1904d2TS405_1 C1904d2TS405_2 C1904d2TS405_3 C1904d2TS405_4 C1904d2TS405_5 C1904d2TS438_1 C1904d2TS438_2 C1904d2TS438_3 C1904d2TS438_4 C1904d2TS438_5
1 0.201496 0.149363 0.171114 0.170796 0.192099 0.293627 0.282434 0.293627 0.301747 0.293627 0.287115 0.28157 0.260573 0.307673 0.316784 0.315168 0.315168 0.294345 0.318881 0.312663 0.299449 0.314454 0.311653 0.318411 0.321232 0.321728 0.294264 0.319021 0.299291 0.304336 0.285092 0.311831 0.287316 0.306277 0.304666 0.303114 0.311079 0.31062 0.300173 0.308813 0.316004 0.313446 0.313897 0.315582 0.30701 0.317713 0.325832 0.32459 0.322292 0.330889 0.30733 0.297922 0.315953 0.296975 0.308355 0.288291 0.318411 0.321232 0.321728 0.327196 0.294264 0.326932 0.276889 0.282419 0.321621 0.321302
0.382965 1 0.411254 0.433162 0.407567 0.417453 0.354982 0.321734 0.354982 0.334802 0.354982 0.338986 0.31763 0.296905 0.315339 0.313383 0.33495 0.33495 0.305201 0.301478 0.301534 0.30485 0.299713 0.30847 0.319069 0.322011 0.319913 0.312884 0.312896 0.352202 0.327448 0.31882 0.318334 0.332179 0.326617 0.324983 0.326655 0.326892 0.320024 0.327861 0.3316 0.311118 0.31837 0.318657 0.305772 0.299356 0.311423 0.313276 0.312905 0.337207 0.331707 0.327468 0.321006 0.335189 0.324701 0.320394 0.328915 0.319069 0.322011 0.319913 0.323959 0.312884 0.315236 0.272829 0.29146 0.307081 0.310562
0.41553 0.496152 1 0.555876 0.548741 0.577013 0.379648 0.361892 0.379648 0.364161 0.379648 0.36527 0.348996 0.302538 0.333539 0.341796 0.362421 0.362421 0.332437 0.314794 0.318963 0.325892 0.319513 0.328335 0.331997 0.334866 0.33456 0.323557 0.33197 0.365845 0.336893 0.350035 0.344903 0.355016 0.350783 0.350179 0.352846 0.349274 0.335607 0.346613 0.341004 0.335623 0.332655 0.341253 0.335741 0.328485 0.33996 0.318658 0.327143 0.361413 0.35179 0.3569 0.354016 0.366932 0.343908 0.349831 0.342659 0.331997 0.334866 0.33456 0.331928 0.323557 0.336499 0.299456 0.303137 0.314053 0.321824
0.427006 0.491624 0.534908 1 0.550804 0.514905 0.377414 0.365603 0.377414 0.37736 0.377414 0.372851 0.325918 0.310661 0.332952 0.342551 0.355646 0.355646 0.332327 0.328132 0.330999 0.328992 0.337775 0.338849 0.333514 0.338772 0.343775 0.326121 0.319037 0.373279 0.340884 0.337767 0.348875 0.360499 0.353563 0.35212 0.354551 0.351111 0.333067 0.349161 0.340942 0.339492 0.350242 0.346526 0.325804 0.324751 0.346786 0.331594 0.329956 0.353711 0.356683 0.356655 0.352341 0.364491 0.3527 0.350116 0.371546 0.333514 0.338772 0.343775 0.347029 0.326121 0.346276 0.296873 0.307846 0.325115 0.331981
0.40843 0.451706 0.523099 0.53742 1 0.522588 0.358224 0.363396 0.358224 0.35706 0.358224 0.354588 0.315613 0.285855 0.330992 0.329707 0.344315 0.344315 0.337417 0.317763 0.314658 0.316992 0.314263 0.330239 0.321742 0.32982 0.330443 0.312899 0.313317 0.353893 0.332357 0.33055 0.332643 0.327994 0.351817 0.352129 0.354811 0.355754 0.319831 0.326461 0.320926 0.321283 0.326387 0.333572 0.314987 0.312704 0.321924 0.32099 0.316176 0.341404 0.338686 0.332504 0.333273 0.354751 0.345414 0.348816 0.350308 0.321742 0.32982 0.330443 0.331103 0.312899 0.324062 0.292223 0.288911 0.31232 0.316357
0.366049 0.420394 0.477529 0.45205 0.458 1 0.328352 0.326028 0.328352 0.336427 0.328352 0.324709 0.315026 0.287702 0.290933 0.312463 0.327106 0.327106 0.296192 0.299573 0.298764 0.306115 0.298525 0.303261 0.305677 0.312781 0.310573 0.306396 0.298246 0.331358 0.305737 0.318237 0.294028 0.308971 0.332835 0.333727 0.338292 0.333129 0.312227 0.318244 0.311666 0.300887 0.306289 0.302059 0.297488 0.297164 0.295231 0.300137 0.297598 0.3247 0.318063 0.316612 0.309469 0.33642 0.316189 0.31731 0.322981 0.305677 0.312781 0.310573 0.309072 0.306396 0.302379 0.272599 0.283286 0.294294 0.298181
0.281023 0.184072 0.118666 0.1504 0.128243 0.159541 1 0.316088 1 0.333639 1 0.368378 0.353494 0.333038 0.407773 0.348131 0.375801 0.375801 0.355593 0.428046 0.436848 0.40343 0.419179 0.422113 0.395728 0.408235 0.389257 0.369599 0.373134 0.344674 0.361019 0.362333 0.360566 0.333615 0.358108 0.348821 0.347857 0.35808 0.37331 0.391923 0.382533 0.388135 0.397087 0.393741 0.42155 0.415346 0.392085 0.414215 0.422158 0.403155 0.39124 0.378903 0.389311 0.373009 0.334945 0.342524 0.364965 0.395728 0.408235 0.389257 0.411267 0.369599 0.430383 0.353141 0.355128 0.427482 0.430353
0.260028 0.163691 0.132546 0.147019 0.147848 0.148322 0.314327 1 0.314327 0.34963 0.314327 0.322315 0.293439 0.287079 0.343905 0.330722 0.322023 0.322023 0.339265 0.36921 0.362429 0.350701 0.373163 0.357436 0.341512 0.337663 0.343032 0.311782 0.332627 0.273123 0.298582 0.293104 0.301667 0.292876 0.343685 0.337632 0.330803 0.341087 0.323622 0.330689 0.333722 0.320442 0.329362 0.337285 0.377882 0.380368 0.363304 0.361706 0.367317 0.330101 0.342348 0.343833 0.347112 0.3237 0.323374 0.326372 0.320937 0.341512 0.337663 0.343032 0.350664 0.311782 0.366658 0.30952 0.306845 0.370363 0.371906
0.281023 0.184072 0.118666 0.1504 0.128243 0.159541 1 0.316088 1 0.333639 1 0.368378 0.353494 0.333038 0.407773 0.348131 0.375801 0.375801 0.355593 0.428046 0.436848 0.40343 0.419179 0.422113 0.395728 0.408235 0.389257 0.369599 0.373134 0.344674 0.361019 0.362333 0.360566 0.333615 0.358108 0.348821 0.347857 0.35808 0.37331 0.391923 0.382533 0.388135 0.397087 0.393741 0.42155 0.415346 0.392085 0.414215 0.422158 0.403155 0.39124 0.378903 0.389311 0.373009 0.334945 0.342524 0.364965 0.395728 0.408235 0.389257 0.411267 0.369599 0.430383 0.353141 0.355128 0.427482 0.430353
0.265073 0.155997 0.113967 0.135628 0.121236 0.154938 0.30433 0.317093 0.30433 1 0.30433 0.318507 0.290154 0.278274 0.349002 0.316205 0.332243 0.332243 0.333759 0.351187 0.355618 0.336364 0.354797 0.342074 0.360557 0.358471 0.350655 0.31817 0.344783 0.276875 0.30737 0.304599 0.311224 0.3058 0.337216 0.337693 0.333042 0.330901 0.332603 0.361572 0.34888 0.344335 0.346848 0.336943 0.34099 0.344664 0.352532 0.353645 0.350246 0.3228 0.347661 0.33429 0.330996 0.318269 0.335649 0.323829 0.333529 0.360557 0.358471 0.350655 0.367767 0.31817 0.373336 0.323465 0.326943 0.378779 0.373433
